Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntoskrnl.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    DF7CEC78 time date stamp
        0.00 version
           1 ordinal base
        2894 number of functions
        2887 number of names

    ordinal hint RVA      name

          8    0 00848240 AlpcCreateSecurityContext
          9    1 000CF670 AlpcGetHeaderSize
         10    2 000CF4F0 AlpcGetMessageAttribute
         11    3 000CF610 AlpcInitializeMessageAttribute
         12    4 00951230 BgkDisplayCharacter
         13    5 00951300 BgkGetConsoleState
         14    6 00951350 BgkGetCursorState
         15    7 009513B0 BgkSetCursor
         16    8 00165610 CcAddDirtyPagesToExternalCache
         17    9 000C9970 CcAsyncCopyRead
         18    A 000EFFB0 CcCanIWrite
         19    B 000EB5C0 CcCoherencyFlushAndPurgeCache
         20    C 00694310 CcCopyRead
         21    D 00069320 CcCopyReadEx
         22    E 00264DF0 CcCopyWrite
         23    F 0004CAD0 CcCopyWriteEx
         24   10 0010CC20 CcCopyWriteWontFlush
         25   11 001653F0 CcDeductDirtyPagesFromExternalCache
         26   12 00264E20 CcDeferWrite
         27   13 007E6B10 CcFastCopyRead
         28   14 00265020 CcFastCopyWrite
         29   15 00435188 CcFastMdlReadWait
         30   16 00125220 CcFlushCache
         31   17 0015E9B0 CcFlushCacheToLsn
         32   18 00265600 CcGetCachedDirtyPageCountForFile
         33   19 0011D010 CcGetDirtyPages
         34   1A 00264920 CcGetFileObjectFromBcb
         35   1B 00264940 CcGetFileObjectFromSectionPtrs
         36   1C 002649E0 CcGetFileObjectFromSectionPtrsRef
         37   1D 000EC9F0 CcGetFlushedValidData
         38   1E 00265620 CcGetLsnForFileObject
         39   1F 00165140 CcGetNumberOfMappedPages
         40   20 00134090 CcInitializeCacheMap
         41   21 00003500 CcInitializeCacheMapEx
         42   22 002656E0 CcIsThereDirtyData
         43   23 00265720 CcIsThereDirtyDataEx
         44   24 0011A2F0 CcIsThereDirtyLoggedPages
         45   25 005CE0C0 CcMapData
         46   26 005ED790 CcMdlRead
         47   27 0068CA60 CcMdlReadComplete
