Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kbase.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kbase.sys

    00000000 characteristics
    C70CD32F time date stamp
        0.00 version
           1 ordinal base
        2493 number of functions
        2493 number of names

    ordinal hint RVA      name

          1    0 00050F60 ??0BRUSHMEMOBJ@@QEAA@KKHH@Z
          2    1 00050DE0 ??0BRUSHMEMOBJ@@QEAA@PEAUHBITMAP__@@0HKKH@Z
          3    2 00086210 ??0CAutoMutex@OPM@@QEAA@PEAVCMutex@1@@Z
          4    3 0002CD10 ??0CInputDest@@QEAA@AEBUtagINPUTDEST@@@Z
          5    4 0005D1F0 ??0CInputDest@@QEAA@AEBV0@@Z
          6    5 000A99D0 ??0CMonitorPDO@OPM@@QEAA@AEAU_LUID@@KPEAJ@Z
          7    6 00069280 ??0CMutex@OPM@@QEAA@PEAJ@Z
          8    7 00013DB0 ??0DCMEMOBJ@@QEAA@AEAVDCOBJ@@@Z
          9    8 000E8360 ??0DwmHitTestLeaveEnterCrit@@QEAA@XZ
         10    9 000A7E10 ??0EXFORMOBJ@@QEAA@KK@Z
         11    A 0002E3E0 ??0PATHMEMOBJ@@QEAA@XZ
         12    B 000A4B00 ??0PDEVOBJ@@QEAA@PEAU_LDEV@@PEAU_devicemodeW@@PEAG22PEAXPEAUtagREMOTETYPEONENODE@@PEAU_GDIINFO@@PEAUtagDEVINFO@@HKK@Z
         13    C 00013D30 ??0RGNMEMOBJ@@QEAA@HH@Z
         14    D 00015410 ??0RGNMEMOBJ@@QEAA@K@Z
         15    E 0008C870 ??0RGNMEMOBJ@@QEAA@W4DestructorDisposition@0@@Z
         16    F 00015600 ??0RGNMEMOBJ@@QEAA@XZ
         17   10 0001A1F0 ??0RGNOBJAPI@@QEAA@PEAUHRGN__@@H@Z
         18   11 000413F0 ??0SPRITELOCK@@QEAA@AEAVPDEVOBJ@@@Z
         19   12 0008CBA0 ??1CAutoMutex@OPM@@QEAA@XZ
         20   13 00134C00 ??1CInputDest@@QEAA@XZ
         21   14 000FCC00 ??1CMonitorPDO@OPM@@UEAA@XZ
