Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kfull.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kfull.sys

    00000000 characteristics
    521ECAF6 time date stamp
        0.00 version
           1 ordinal base
        2345 number of functions
        2345 number of names

    ordinal hint RVA      name

         22    0 0011EF60 AccessPTPEnabledStatus
         23    1 001020E0 AddMagnificationOutputTransform
         24    2 001BE930 AdjustLinearity
         25    3 00074B30 AllocateCvr
         26    4 000F3E30 AllocateW32Process
         27    5 001258C0 ApplyGatheredDeviceInfoSummaryInformation
         28    6 001BED50 ApplyMagInputTransform
         29    7 001BBAD0 ApplyPTPTranslation
         30    8 001C2210 AutoRotationUpdateRegistry
         31    9 002519D0 BRUSHOBJ_hGetColorTransform
         32    A 00251A30 BRUSHOBJ_pvAllocRbrush
         33    B 00251AC0 BRUSHOBJ_pvGetRbrush
         34    C 000B2D70 BRUSHOBJ_ulGetBrushColor
         35    D 000530D0 BuildHwndList
         36    E 00251CF0 CLIPOBJ_GetRgn
         37    F 00080BB0 CLIPOBJ_bEnum
         38   10 000DF7F0 CLIPOBJ_cEnumStart
         39   11 00251D90 CLIPOBJ_ppoGetPath
         40   12 001C2C30 CachePTPInertiaInfo
         41   13 0012BB80 CacheRotationInfo
         42   14 0003DB00 CalcVisRgn
         43   15 0011BFB0 CalcWindowsFullScreen
         44   16 0005FF10 CanForceForeground
         45   17 0005FC90 CheckAllowForeground
         46   18 002533F0 CheckAndProcessSurfaceComplete
          1   19 0006E430 CheckCursorClipAccess
         47   1A 0012BC40 CheckSessionPoolAllocations
         48   1B 00070A00 CheckWinstaAttributeAccess
         49   1C 0005BB70 CheckupHidLeak
         50   1D 001118B0 CitGetWindowInfo
         51   1E 0012C810 CleanupDesktopsMonitorsAndWindowsSnapShot
         52   1F 0012AEE0 CleanupDwmInputProcessing
         53   20 0012C8A0 CleanupFeedbackData
         54   21 0012C670 CleanupHLSURF
         55   22 001C4F50 CleanupHidRequestList
         56   23 000C6CA0 CleanupIAMAccess
         57   24 001CB7A0 CleanupInjectedTouchProcess
         58   25 0012C450 CleanupMediaChange
